Recommended_Calories,Recommended_Protein,Recommended_Carbs,Recommended_Fats
1705,144,142,64
972,203,172,144
1149,110,327,47
1271,111,111,144
2807,63,144,18
2001,56,325,135
1150,185,348,88
1569,203,169,63
2430,81,288,102
1431,148,326,124
1220,154,389,92
1796,158,255,113
1495,209,350,102
1777,104,364,93
2600,105,264,75
2885,112,362,127
1637,135,125,85
2148,72,173,78
2228,63,126,71
1547,120,148,46
1719,92,258,106
2226,159,89,144
2851,154,249,110
1473,117,320,65
1785,101,174,149
1189,184,249,114
1512,60,269,89
1206,62,337,94
1848,106,285,72
1377,159,118,85
3010,148,279,85
1033,139,279,94
1681,158,245,94
1769,107,299,61
2540,125,237,81
1465,191,378,45
2770,123,144,139
3083,191,261,48
2669,163,244,48
2373,204,179,84
2589,174,254,135
3147,149,290,113
2621,124,128,135
1975,128,206,133
782,65,88,118
1411,67,204,84
3115,144,188,79
1335,152,222,59
1785,111,346,27
2855,123,131,110
1647,70,135,156
2349,75,381,149
929,168,287,78
1983,150,401,84
1181,75,118,60
3141,64,256,88
2435,127,145,34
1496,201,214,17
1137,131,326,40
1798,113,252,88
1761,154,222,51
1911,180,109,127
3283,203,326,108
2558,105,278,135
2962,54,280,141
2128,96,314,96
1573,83,375,113
995,87,213,121
1506,133,240,35
2226,76,271,115
2279,101,246,133
1964,86,145,120
1233,97,116,42
3018,198,178,65
3094,88,338,131
2960,76,314,124
2534,67,338,129
1578,162,82,140
1034,174,255,151
1159,123,203,62
1686,53,305,72
1234,130,317,57
1874,144,308,87
2553,112,121,80
2692,139,372,88
1475,118,161,113
954,181,235,34
2472,138,163,69
1689,173,90,84
2468,67,247,133
2469,73,217,155
3034,112,87,47
2819,125,126,72
3288,101,294,52
1550,56,146,87
1109,86,305,126
2154,134,144,119
3257,91,224,46
3096,178,330,79
1091,132,236,150
1137,162,324,119
2473,169,284,17
1364,76,288,128
3266,90,393,39
2979,122,278,123
1938,139,140,111
1967,59,89,113
2856,205,235,73
1241,156,294,106
1371,102,254,138
2067,115,346,54
2485,130,259,77
1339,68,410,99
1064,173,142,105
2159,128,172,130
2824,110,372,127
2859,154,170,69
1104,103,173,103
1140,93,224,109
1839,131,297,52
1587,183,183,77
3031,141,303,89
1327,203,119,103
1013,93,253,98
2767,191,300,134
1392,136,140,87
1278,101,260,146
1473,197,409,57
2441,86,158,61
3212,209,386,77
1750,75,304,106
1690,100,309,64
1674,151,375,130
3081,81,244,18
981,192,74,46
1091,77,226,153
1509,122,109,127
2353,83,179,103
1099,132,221,122
1301,134,228,49
1238,75,115,109
3021,154,293,127
2242,85,270,24
1533,187,398,59
1978,88,239,113
2564,193,204,21
2251,165,367,68
1779,168,164,98
1902,190,187,55
1154,144,285,140
2279,90,146,80
1726,62,249,104
1042,75,362,76
2956,99,179,139
1289,141,166,50
2061,48,97,65
963,68,211,48
2875,52,282,71
1891,211,138,47
1939,171,135,106
1950,182,220,45
3231,114,328,50
2503,62,295,126
1807,184,326,139
1525,56,137,88
1752,50,280,112
2684,55,139,91
2734,68,243,120
2062,157,193,53
903,191,353,75
1403,97,366,100
2300,68,179,154
2995,147,343,20
1867,81,121,52
2092,202,354,138
1950,185,196,35
2368,142,306,67
1709,105,230,50
3197,51,92,128
2437,129,255,134
2855,75,235,50
1326,197,404,92
2145,157,367,111
2508,77,405,63
1391,97,106,112
828,130,350,113
1567,204,307,132
3042,48,153,56
3157,164,276,112
1952,73,173,138
1992,47,178,137
1974,128,334,71
1271,119,201,27
2045,96,258,88
1916,148,168,145
3038,142,127,41
2672,182,267,45
1442,176,254,84
2977,160,398,123
1357,193,274,72
1584,125,230,89
2761,63,261,134
2479,90,153,130
1132,112,263,31
1862,169,294,52
1642,180,196,46
2745,130,216,150
946,92,371,142
871,147,102,71
1802,98,417,150
1142,161,297,17
2966,192,213,84
1538,74,338,71
2484,132,333,61
2187,105,171,80
2078,120,179,49
1379,183,311,107
2275,129,299,148
2319,187,398,42
1665,145,229,132
3011,122,371,40
2590,208,346,99
2844,91,292,148
2094,201,94,50
2382,111,349,159
2209,188,190,23
1505,184,147,26
2701,61,236,30
2216,141,362,65
1424,81,220,127
1703,161,335,127
2505,155,305,149
1139,183,132,115
3333,158,283,66
3016,132,121,155
2426,168,219,104
828,163,108,110
2626,126,296,57
2932,77,320,130
2883,126,412,27
781,180,323,135
1544,197,168,39
2141,156,120,42
1249,140,322,26
1121,138,222,70
2653,93,202,139
1509,123,174,43
1306,55,375,93
2923,158,252,21
2610,191,244,139
1402,62,270,135
1011,130,159,109
2802,191,227,90
1132,172,315,103
3024,192,280,68
2884,95,182,92
988,64,377,127
1972,161,182,21
2356,153,371,59
1147,200,92,113
2973,152,325,95
3080,187,276,46
2487,74,145,97
1549,128,366,68
1094,173,279,120
1284,82,214,116
2326,59,322,50
2919,92,185,104
2784,118,236,51
1706,69,155,44
1526,160,184,39
3131,177,121,99
1453,147,365,86
2185,147,385,104
3259,190,390,26
2903,204,281,109
3000,140,113,22
1985,98,320,28
1236,125,263,89
897,150,279,106
1749,133,126,162
1721,202,288,101
3091,55,343,30
2919,103,283,148
2804,202,301,42
1804,100,174,123
2290,154,205,54
1137,72,309,57
1975,190,308,72
1423,64,143,102
2644,72,252,40
2002,74,210,92
2939,161,109,133
2531,140,70,38
970,109,105,88
1345,206,365,22
3034,142,354,143
3100,66,362,16
3032,128,211,89
2012,160,99,124
1424,116,161,24
2146,136,271,158
2800,84,170,81
1832,49,241,138
2353,135,266,107
3163,140,364,163
2044,89,258,155
2584,69,299,64
2363,124,252,58
2156,130,147,69
1876,65,204,88
2526,79,209,83
3190,149,339,17
2730,190,371,113
889,160,203,137
2889,143,268,34
3367,70,218,116
2842,68,230,40
1636,168,149,93
2809,157,324,73
2120,126,250,93
2492,150,176,74
1206,179,169,27
2231,181,155,155
966,119,351,68
1247,72,306,91
1669,106,368,79
3030,106,253,109
2048,165,326,49
2755,65,399,20
2207,120,245,70
1988,122,260,103
1652,148,258,38
1607,166,206,125
2174,159,161,134
3223,137,199,96
1088,93,151,101
1378,130,375,67
1647,65,317,85
2239,68,132,41
3202,191,140,84
1171,90,264,136
2270,199,318,142
1784,74,268,159
1412,197,143,111
2689,145,392,43
1930,141,201,37
1938,147,160,100
1791,122,266,137
913,85,315,25
2129,183,362,71
1859,191,356,116
2346,138,166,144
1712,137,273,137
1769,167,358,74
1193,155,210,141
3009,66,354,87
1806,153,244,80
1539,192,270,123
2028,150,216,51
1222,151,311,131
1316,159,343,55
1612,106,319,116
2999,141,182,144
2376,132,331,50
2699,133,151,73
1379,166,290,45
1223,69,251,61
1031,76,341,117
2341,97,272,98
1923,126,353,50
2728,125,116,65
2313,72,195,80
1141,188,317,36
2104,132,264,71
3305,189,247,137
1788,128,246,87
1694,115,353,139
2155,169,245,143
1058,100,177,163
3183,118,143,45
1074,136,59,109
1406,172,69,127
2509,171,243,76
2059,161,395,55
2398,184,215,59
1852,134,150,129
745,56,104,95
1091,146,270,29
1993,79,197,150
2117,167,411,70
1223,127,297,118
2004,118,179,86
2579,74,373,66
1718,75,226,133
2447,49,93,147
1180,134,324,28
1368,100,309,73
1110,165,291,159
2228,156,324,146
2928,130,283,112
2767,138,397,64
946,62,68,61
2432,71,203,63
1241,47,206,89
2974,70,292,144
3170,101,138,127
3145,116,147,153
2777,161,413,89
3098,107,268,133
1415,197,183,123
2377,181,334,102
923,97,305,88
2638,64,353,24
1135,51,366,66
1258,82,407,73
2507,146,189,57
2434,87,239,121
1635,113,160,85
2599,122,344,23
1429,191,334,144
2054,204,122,54
2166,64,142,79
1557,121,293,112
1418,60,356,133
1424,136,149,73
1337,190,379,131
3002,72,370,142
912,71,199,35
2899,47,347,93
1577,75,179,114
1590,94,269,119
1786,76,117,21
1410,157,210,149
2865,173,194,123
3113,173,234,68
2802,63,310,110
1715,197,335,124
2140,131,245,101
2610,69,121,141
2545,158,347,89
2596,130,142,95
1268,117,71,98
2950,53,261,20
1245,73,209,22
2040,172,325,133
2685,131,263,95
2013,210,289,99
1243,125,184,89
3199,94,322,36
1724,87,359,52
1889,49,394,115
1447,105,328,114
2676,115,150,126
2626,137,167,40
2405,94,327,53
1214,154,125,94
1406,106,80,68
2695,200,279,78
1083,168,165,74
1988,160,357,38
2687,81,218,142
1712,68,306,45
1379,68,401,74
2191,215,440,135
1855,151,141,60
3225,187,318,18
1787,66,300,147
1075,177,352,66
3308,68,314,72
1429,145,304,70
927,78,211,42
953,66,171,136
2208,177,257,57
2457,186,439,58
1914,199,233,146
2331,113,146,75
2960,215,150,114
2525,135,347,101
1560,83,344,72
2893,40,380,34
